Nom,Catégorie,URL,INCI,Nom botanique,Texte brut,Qualité,Date
Huile aromatique Purification,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-purification,,,"Huile aromatique Purification Accueil Produits Huile aromatique Purification Huile aromatique Purification Sku: HA-PURI En stock Huile aromatique Purification Sku: HA-PURI En stock 12,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Purification Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",À valider,2026-03-27
Huile aromatique Raisin,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-raisin,Vitis Labrusca (Grape) Seed Oil,Vitis labrusca,"Huile aromatique Raisin Accueil Produits Huile aromatique Raisin Huile aromatique Raisin Sku: HA-RAIS En stock Huile aromatique Raisin Sku: HA-RAIS En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile essentielle : Raisin Nom botanique : Vitis labrusca Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Relaxation,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-relaxation,Rosmarinus Officinalis (Rosemary) Leaf Oil; Lavandula Angustifolia (Lavender) Flower Oil; Citrus Sinensis (Orange) Peel Oil; Citrus Bergamia (Bergamot) Peel Oil; Jasminum Grandiflorum (Jasmine) Flower Oil,"Rosmarinus officinalis, Lavandula angustifolia, Citrus sinensis, Citrus bergamia, Jasminum grandiflorum","Huile aromatique Relaxation Accueil Produits Huile aromatique Relaxation Huile aromatique Relaxation Sku: HA-RELAX En stock Huile aromatique Relaxation Sku: HA-RELAX En stock 12,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Relaxation Nom botanique : Rosmarinus officinalis, Lavandula angustifolia, Citrus sinensis, Citrus bergamia, Jasminum grandiflorum Mélange de nos huiles aromatiques : (Romarin, lavande, orange, bergamote, jasmin) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Salade de fruits,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-salade-de-fruits,,,"Huile aromatique Salade de fruits Accueil Produits Huile aromatique Salade de fruits Huile aromatique Salade de fruits Sku: HA-SALADF En stock Huile aromatique Salade de fruits Sku: HA-SALADF En stock 12,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Salade de fruits Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",À valider,2026-03-27
Huile aromatique Thé blanc et Gingembre,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-the-blanc-et-gingembre,Camellia Sinensis (Green Tea) Leaf Oil; Zingiber Officinalis (Ginger) Root Oil,Camellia sinensis & Zingiber officinalis,"Huile aromatique Thé Blanc et Gingembre Accueil Produits Huile aromatique Thé blanc et Gingembre Huile aromatique Thé blanc et Gingembre Sku: HA-TBG En stock Huile aromatique Thé blanc et Gingembre Sku: HA-TBG En stock 13,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Thé et Gingembre Nom botanique : Camellia sinensis & Zingiber officinalis Mélange de nos huiles aromatiques : (Thé vert, gingembre) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Thé vert,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-the-vert,Camellia Sinensis (Green Tea) Leaf Oil,Camellia sinensis,"Huile aromatique Thé vert Accueil Produits Huile aromatique Thé vert Huile aromatique Thé vert Sku: HA-THEV En stock Huile aromatique Thé vert Sku: HA-THEV En stock 12,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Thé vert Nom botanique : Camellia sinensis Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Thé vert et Concombre,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-the-vert-et-concombre,Camellia Sinensis (Green Tea) Leaf Oil; Cucumis Sativus (Cucumber) Fruit Oil,Camellia sinensis & Cucumis sativus,"Huile aromatique Thé vert et Concombre Accueil Produits Huile aromatique Thé vert et Concombre Huile aromatique Thé vert et Concombre Sku: HA-THCON En stock Huile aromatique Thé vert et Concombre Sku: HA-THCON En stock 14,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Thé vert et Concombre Nom botanique : Camellia sinensis & Cucumis sativus Mélange de nos huiles aromatiques : (Thé vert, concombre) Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Tilleul,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-tilleul,Tilia Vulgaris (Linden) Flower Oil,Tilia vulgaris,"Huile aromatique Tilleul Accueil Produits Huile aromatique Tilleul Huile aromatique Tilleul Sku: HA-TILL En stock Huile aromatique Tilleul Sku: HA-TILL En stock 11,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Tilleul Nom botanique : Tilia vulgaris Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Trèfle des prés,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-trefle-des-pres,Trifolium Pratense (Red Clover) Flower Oil,Trifolium pratense,"Huile aromatique Trèfle des prés Accueil Produits Huile aromatique Trèfle des prés Huile aromatique Trèfle des prés Sku: HA-TREFLE En rupture ! De retour bientôt Huile aromatique Trèfle des prés Sku: HA-TREFLE En rupture ! De retour bientôt 15,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile essentielle : Trèfle des prés Nom botanique : Trifolium pratense Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Violette,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-violette,Viola Odorata (Violet) Flower Oil,Viola odorata,"Huile aromatique de violette Accueil Produits Huile aromatique Violette Huile aromatique Violette Sku: HA-VIOL En stock Huile aromatique Violette Sku: HA-VIOL En stock 14,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Violette Nom botanique : Viola odorata Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile aromatique Ylang Ylang,Huiles aromatiques naturelle,https://www.purearome.com/fr/produit/huile-aromatique-ylang-ylang,Cananga Odorata (Ylang Ylang) Flower Oil,Cananga Odorata,"Huile aromatique Ylang Ylang Accueil Produits Huile aromatique Ylang Ylang Huile aromatique Ylang Ylang Sku: HA-YLAN En stock Huile aromatique Ylang Ylang Sku: HA-YLAN En stock 14,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile aromatique : Ylang Ylang Nom botanique : Cananga Odorata Nos huiles aromatiques 100 % naturelles sont conçue à partir d'extraits de fleurs, plantes, fruits et d'herbes directement de leurs sources. Nos huiles aromatiques peuvent être utilisées dans vos fabrications, savons, crèmes, beurres, produits de massage, chandelles, sels, shampoing et autres produits cosmétiques ou créations de votre choix. Savon procédé à froid : il faut faire des tests avec votre recette, car rarement, mais elle pourrait accélérer la trace. ",Bot seul,2026-03-27
Huile essentielle Agrumes,Huiles essentielles,https://www.purearome.com/fr/produit/huile-essentielle-agrumes,Citrus Limon (Lemon) Peel Oil; Citrus Aurantiifolia (Lime) Peel Oil; Citrus Sinensis (Orange) Peel Oil; Citrus Paradisi (Grapefruit) Peel Oil,,"Huile essentielle Agrumes Accueil Produits Huile essentielle Agrumes Huile essentielle Agrumes Sku: HE-AGRUM En stock Huile essentielle Agrumes Sku: HE-AGRUM En stock 13,99 $ CAD Produit non disponible à l'achat en ligne Partager Huile essentielle : Agrumes synergie ( 4 huiles essentielles ) Nom botanique : N/A (vous référez à chaque huile de la recette) Mélange de nos huiles essentielles : (citron, lime, orange, pamplemousse) L'huile essentielle Agrumes Laboratoire Pure arôme est mélange d'agrumes fabriqué ici même dans nos locaux avec des huiles essentielles de première qualité. CITRON ; Ses propriétés sont innombrables. L’huile essentielle de citron est avant tout un puissant antiseptique. Elle est utilisée dans le traitement de certaines maladies respiratoires. Elle agit aussi efficacement contre certaines maladies liées à l’ORL. LIME ; La première propriété de l’huile essentielle de lime est d’être calmante. Elle est particulièrement conseillée pour calmer un enfant agité, de plus de 6 ans. Pour cela, il suffit de verser 5 gouttes de cette huile dans l’eau du bain. L’huile essentielle de lime est également un excellent moyen pour lutter contre les troubles du sommeil. Sinon, elle s’utilise aussi avec un diffuseur. Ses bienfaits se dégagent à travers son parfum, ce qui vous prépare au sommeil. ORANGE ; L’huile essentielle d’orange a de nombreuses propriétés. Les plus importantes sont d’être un bon drainant, une hypotenseuse efficace, et aussi un stimulant lymphatique. En plus de ces effets, elle participe activement à la digestion et au contrôle des processus de sécrétions. L’utilisation de l’huile essentielle d’orange n’a pas des bienfaits que sur le plan physique. Elle agit également sur les problèmes d’ordre psychique comme, l’hystérie. Ses moyens d’application et d’utilisation sont aussi nombreux que ses propriétés. Elle s’applique par voie cutanée, en massage ou en bain. PAMPLEMOUSSE ; L’huile essentielle de pamplemousse est particulièrement connue pour être rafraîchissante, relaxante, purifiante et tonifiante. Elle participe au soulagement des douleurs musculaires, aide à la digestion tout en drainant les reins et le foie. C’est également un élément puissant de purification et de détoxication de l’ensemble de l’organisme. Incorporée dans certains produits, cette essence est efficace pour lutter contre l’acné et la cellulite. L’huile essentielle de pamplemousse s’applique localement, sur les zones spécifiques à traiter, par massage ou frictions. Elle est également employée par diffuseur pour parfumer une pièce tout en profitant de ses propriétés. Document : Allergènes Agrumes (Synergie) Huile essentielle.pdf ",Bot seul,2026-03-27
